vuosi;okmohjauksenala;korkeakoulu;tutkinnot;opiskelijat;uudet;lasna;fte
2000;Kasvatusalat;Centria-ammattikorkeakoulu;;51;37;49;
2000;Kasvatusalat;Helsingin yliopisto;509;3444;451;3302;
2000;Kasvatusalat;Itä-Suomen yliopisto;302;1824;330;1744;
2000;Kasvatusalat;Jyväskylän ammattikorkeakoulu;;119;43;114;
2000;Kasvatusalat;Jyväskylän yliopisto;457;2079;346;1955;
2000;Kasvatusalat;Karelia-ammattikorkeakoulu;;78;26;72;
2000;Kasvatusalat;Lahden ammattikorkeakoulu;;60;28;58;
2000;Kasvatusalat;Lapin yliopisto;118;763;142;732;
2000;Kasvatusalat;Metropolia Ammattikorkeakoulu;;246;98;235;
2000;Kasvatusalat;Oulun ammattikorkeakoulu;;22;11;21;
2000;Kasvatusalat;Oulun yliopisto;274;1933;281;1836;
2000;Kasvatusalat;Savonia-ammattikorkeakoulu;;91;57;89;
2000;Kasvatusalat;Tampereen ammattikorkeakoulu;1;94;31;91;
2000;Kasvatusalat;Tampereen konservatorio;3;;;;
2000;Kasvatusalat;Tampereen yliopisto;198;1347;176;1258;
2000;Kasvatusalat;Turun ammattikorkeakoulu;26;164;39;159;
2000;Kasvatusalat;Turun yliopisto;274;1676;263;1629;
2000;Kasvatusalat;Yrkeshögskolan Novia;1;23;7;22;
2000;Kasvatusalat;Åbo Akademi;194;1007;180;905;
2000;Taiteet ja kulttuurialat;Aalto-yliopisto;236;1542;226;1453;
2000;Taiteet ja kulttuurialat;Centria-ammattikorkeakoulu;;33;11;33;
2000;Taiteet ja kulttuurialat;Diakonia-ammattikorkeakoulu;;39;20;39;
2000;Taiteet ja kulttuurialat;Helsingin yliopisto;61;840;60;755;
2000;Taiteet ja kulttuurialat;Hgin amm.kork-opist.ast.inst.;15;;;;
2000;Taiteet ja kulttuurialat;Hämeen ammattikorkeakoulu;48;411;113;398;
2000;Taiteet ja kulttuurialat;Itä-Suomen yliopisto;1;;0;;
2000;Taiteet ja kulttuurialat;Jyväskylän ammattikorkeakoulu;16;204;50;191;
2000;Taiteet ja kulttuurialat;Jyväskylän yliopisto;90;687;77;624;
2000;Taiteet ja kulttuurialat;Karelia-ammattikorkeakoulu;27;313;93;292;
2000;Taiteet ja kulttuurialat;Kymenlaakson ammattikorkeak.;51;544;158;534;
2000;Taiteet ja kulttuurialat;Lahden ammattikorkeakoulu;113;741;170;736;
2000;Taiteet ja kulttuurialat;Lapin ammattikorkeakoulu;2;209;78;209;
2000;Taiteet ja kulttuurialat;Lapin yliopisto;79;789;131;747;
2000;Taiteet ja kulttuurialat;Metropolia Ammattikorkeakoulu;106;961;357;940;
2000;Taiteet ja kulttuurialat;Mikkelin ammattikorkeakoulu;;38;38;38;
2000;Taiteet ja kulttuurialat;Oulun ammattikorkeakoulu;;105;76;104;
2000;Taiteet ja kulttuurialat;Saimaan ammattikorkeakoulu;6;141;52;140;
